,precision,recall,f1-score,support
Class 0,0.9928741092636579,0.842741935483871,0.9116684841875682,992.0
Class 1,0.40229885057471265,0.9459459459459459,0.5645161290322581,111.0
accuracy,0.8531278331822303,0.8531278331822303,0.8531278331822303,0.8531278331822303
macro avg,0.6975864799191853,0.8943439407149085,0.7380923066099132,1103.0
weighted avg,0.9334417849531658,0.8531278331822303,0.8767329343940601,1103.0
