,precision,recall,f1-score,support
Class 0,0.993006993006993,0.8588709677419355,0.9210810810810812,992.0
Class 1,0.42857142857142855,0.9459459459459459,0.5898876404494382,111.0
accuracy,0.8676337262012692,0.8676337262012692,0.8676337262012692,0.8676337262012692
macro avg,0.7107892107892108,0.9024084568439408,0.7554843607652597,1103.0
weighted avg,0.9362052272297059,0.8676337262012692,0.8877515507908615,1103.0
