,precision,recall,f1-score,support
Class 0,0.9811320754716981,0.8911290322580645,0.9339672477548864,992.0
Class 1,0.46534653465346537,0.8468468468468469,0.6006389776357828,111.0
accuracy,,,,0.886672710788758
macro avg,0.7232393050625817,0.8689879395524557,0.7673031126953346,1103.0
weighted avg,0.9292261869578052,0.886672710788758,0.9004228796830636,1103.0
