,precision,recall,f1-score,support
Class 0,0.991907514450867,0.8649193548387096,0.9240710823909531,992.0
Class 1,0.4369747899159664,0.9369369369369369,0.5959885386819485,111.0
accuracy,0.8721668177697189,0.8721668177697189,0.8721668177697189,0.8721668177697189
macro avg,0.7144411521834166,0.9009281458878233,0.7600298105364508,1103.0
weighted avg,0.9360620634777266,0.8721668177697189,0.8910546160702827,1103.0
