,precision,recall,f1-score,support
Class 0,0.9951865222623345,0.8336693548387096,0.9072956664838178,992.0
Class 1,0.39338235294117646,0.963963963963964,0.5587467362924281,111.0
accuracy,0.8467815049864007,0.8467815049864007,0.8467815049864007,0.8467815049864007
macro avg,0.6942844376017555,0.8988166594013368,0.733021201388123,1103.0
weighted avg,0.9346241806534056,0.8467815049864007,0.8722195728743488,1103.0
