,precision,recall,f1-score,support
Class 0,0.9897727272727272,0.8780241935483871,0.9305555555555556,992.0
Class 1,0.45739910313901344,0.918918918918919,0.6107784431137725,111.0
accuracy,0.8821396192203083,0.8821396192203083,0.8821396192203083,0.8821396192203083
macro avg,0.7235859152058703,0.898471556233653,0.770666999334664,1103.0
weighted avg,0.9361975030852003,0.8821396192203083,0.8983749032608702,1103.0
