,precision,recall,f1-score,support
Class 0,0.9835345773874863,0.9032258064516129,0.9416710457172884,992.0
Class 1,0.5,0.8648648648648649,0.6336633663366337,111.0
accuracy,0.899365367180417,0.899365367180417,0.899365367180417,0.899365367180417
macro avg,0.7417672886937432,0.884045335658239,0.787667206026961,1103.0
weighted avg,0.9348742527365245,0.899365367180417,0.9106748059972044,1103.0
